depth,SP,GR,LLD,LLS,DEN,AC,litholody
1181.5,29.359,90.005,2.148,1.698,2.257,118.151,shale
1181.6,30.132,90.086,2.196,1.73,2.248,115.064,shale
1181.7,31.045,90.193,2.24,1.76,2.238,113.594,shale
1181.8,32.054,90.195,2.272,1.782,2.228,113.638,sand
1181.9,33.119,89.983,2.291,1.793,2.218,114.14,sand
1182,34.203,89.588,2.297,1.794,2.207,114.213,sand
1182.1,35.265,89.11,2.292,1.785,2.196,113.935,sand
1182.2,36.271,88.66,2.277,1.768,2.188,114.002,sand
1182.3,37.197,88.327,2.253,1.747,2.183,114.629,sand
1182.4,38.02,88.238,2.225,1.727,2.184,115.435,sand
1182.5,38.715,88.324,2.198,1.711,2.186,115.955,sand
1182.6,39.248,88.332,2.174,1.698,2.188,116.642,sand
1182.7,39.592,87.956,2.155,1.688,2.189,117.642,sand
1182.8,39.741,86.988,2.136,1.676,2.189,118.529,sand
1182.9,39.711,85.536,2.114,1.661,2.186,119.273,sand
1183,39.529,84.044,2.084,1.64,2.185,119.599,sand
1183.1,39.216,83.04,2.047,1.616,2.182,119.093,sand
1183.2,38.767,82.908,2.008,1.591,2.177,117.484,sand
1183.3,38.158,83.692,1.973,1.571,2.166,115.212,sand
1183.4,37.35,85.17,1.949,1.559,2.152,113.529,sand
1183.5,36.324,86.98,1.937,1.554,2.137,113.53,sand
1183.6,35.102,88.811,1.933,1.554,2.124,115.577,sand
1183.7,33.761,90.488,1.93,1.555,2.118,118.681,sand
1183.8,32.408,91.901,1.922,1.552,2.118,121.901,sand
1183.9,31.144,93.066,1.904,1.543,2.124,124.9,sand
1184,30.04,94.102,1.872,1.524,2.135,127.223,sand
1184.1,29.108,95.029,1.828,1.494,2.146,128.461,shale
1184.2,28.307,95.696,1.774,1.456,2.156,128.55,shale
1184.3,27.581,95.979,1.712,1.412,2.164,128.601,shale
1184.4,26.892,95.892,1.647,1.365,2.171,129.797,shale
1184.5,26.235,95.552,1.583,1.319,2.179,132.663,shale
1184.6,25.639,95.026,1.525,1.277,2.188,136.486,shale
1184.7,25.129,94.283,1.479,1.242,2.199,140.122,shale
1184.8,24.698,93.282,1.448,1.217,2.212,142.977,shale
1184.9,24.308,91.974,1.436,1.207,2.226,144.372,shale
1185,23.91,90.21,1.442,1.21,2.24,144.205,shale
1185.1,23.473,87.917,1.467,1.227,2.252,142.965,shale
